	Raw ADC Value	ADC Count	ADC Voltage

	8c3c2161	  3940705	 1.174421549
	893e68f6	  4090102	 1.218945384
	8e3e68af	  4090031	 1.218924284
	833e68aa	  4090026	 1.218922734
	823e68d2	  4090066	 1.218934655
	823e689f	  4090015	 1.218919516
	8b3e6852	  4089938	 1.218896508
	8b3e68c9	  4090057	 1.218931913
	8c3e686e	  4089966	 1.218904853
	8b3e68ae	  4090030	 1.218923926
	8b3e6882	  4089986	 1.218910813
	8f3e686d	  4089965	 1.218904495
	8b3e683b	  4089915	 1.218889713
	8c3e686e	  4089966	 1.218904853
	853e687a	  4089978	 1.218908429
	8e3e68aa	  4090026	 1.218922734
	853e68b3	  4090035	 1.218925476
	8e3e687f	  4089983	 1.218909979
	893e68a9	  4090025	 1.218922377
	8f3e6872	  4089970	 1.218906045
	873e6890	  4090000	 1.218914986
	823e6844	  4089924	 1.218892336
	8e3e68ab	  4090027	 1.218923092
	813e68bc	  4090044	 1.218928099
	893e68b2	  4090034	 1.218925118
	8d3e685b	  4089947	 1.218899250
	8a3e689d	  4090013	 1.218918800
	8e3e687a	  4089978	 1.218908429
	8f3e68b2	  4090034	 1.218925118
	8d3e689b	  4090011	 1.218918324
	8b3e68e0	  4090080	 1.218938828
	8c3e68bd	  4090045	 1.218928337
	8b3e686a	  4089962	 1.218903661
	863e687a	  4089978	 1.218908429
	823e68b4	  4090036	 1.218925714
	873e68d9	  4090073	 1.218936682
	843e67d5	  4089813	 1.218859196
	813e6860	  4089952	 1.218900681
	813e6847	  4089927	 1.218893290
	8e3e684e	  4089934	 1.218895316
	833e6870	  4089968	 1.218905449
	843e6885	  4089989	 1.218911648
	843e6830	  4089904	 1.218886375
	8e3e686e	  4089966	 1.218904853
	8c3e6899	  4090009	 1.218917608
	853e686f	  4089967	 1.218905210
	893e6837	  4089911	 1.218888521
	853e6867	  4089959	 1.218902826
	8d3e684c	  4089932	 1.218894720
	873e682e	  4089902	 1.218885779
	863e6896	  4090006	 1.218916774
	833e6888	  4089992	 1.218912601
	8f3e6858	  4089944	 1.218898296
	843e689b	  4090011	 1.218918324
	803e687d	  4089981	 1.218909264
	8d3e688a	  4089994	 1.218913198
	8b3e687a	  4089978	 1.218908429
	8a3e6856	  4089942	 1.218897700
	843e685e	  4089950	 1.218900084
	883e6856	  4089942	 1.218897700
	823e688e	  4089998	 1.218914390
	8c3e68a7	  4090023	 1.218921900
	803e688c	  4089996	 1.218913794
	813e686e	  4089966	 1.218904853
	803e684d	  4089933	 1.218894958
	8b3e6839	  4089913	 1.218888998
	8f3e686e	  4089966	 1.218904853
	813e68a9	  4090025	 1.218922377
	843e6861	  4089953	 1.218900919
	873e6892	  4090002	 1.218915582
	8f3e689a	  4090010	 1.218917966
	8e3e68d5	  4090069	 1.218935490
	893e6892	  4090002	 1.218915582
	8b3e683f	  4089919	 1.218890905
	843e68b2	  4090034	 1.218925118
	8d3e689c	  4090012	 1.218918562
	8c3e687e	  4089982	 1.218909621
	803e6888	  4089992	 1.218912601
	873e6832	  4089906	 1.218886971
	8e3e6883	  4089987	 1.218911171
	853e6883	  4089987	 1.218911171
	813e6887	  4089991	 1.218912363
	823e68da	  4090074	 1.218937039
	833e6872	  4089970	 1.218906045
	863e68e0	  4090080	 1.218938828
	873e689a	  4090010	 1.218917966
	8c3e6865	  4089957	 1.218902111
	8a3e6849	  4089929	 1.218893766
	863e687f	  4089983	 1.218909979
	883e6840	  4089920	 1.218891144
	823e6879	  4089977	 1.218908072
	853e686d	  4089965	 1.218904495
	8e3e686c	  4089964	 1.218904257
	863e686b	  4089963	 1.218904018
	833e687b	  4089979	 1.218908787
	893e6874	  4089972	 1.218906641
	8a3e6831	  4089905	 1.218886614
	843e6866	  4089958	 1.218902469
	893e6823	  4089891	 1.218882561
	803e688a	  4089994	 1.218913198
	893e686f	  4089967	 1.218905210
	843e687b	  4089979	 1.218908787
	8a3e6898	  4090008	 1.218917370
	853e6890	  4090000	 1.218914986
	8c3e684e	  4089934	 1.218895316
	8e3e680b	  4089867	 1.218875408
	873e6895	  4090005	 1.218916416
	813e685e	  4089950	 1.218900084
	813e6866	  4089958	 1.218902469
	813e683e	  4089918	 1.218890548
	813e683f	  4089919	 1.218890905
	883e6834	  4089908	 1.218887568
	853e6859	  4089945	 1.218898535
	8d3e6882	  4089986	 1.218910813
	863e6889	  4089993	 1.218912840
	863e688d	  4089997	 1.218914032
	8e3e685a	  4089946	 1.218898892
	803e6857	  4089943	 1.218898058
	8f3e6889	  4089993	 1.218912840
	8a3e6865	  4089957	 1.218902111
	813e6862	  4089954	 1.218901277
	8f3e6851	  4089937	 1.218896151
	833e683c	  4089916	 1.218889952
	823e6850	  4089936	 1.218895912
	883e6849	  4089929	 1.218893766
	803e6836	  4089910	 1.218888164
	873e68b0	  4090032	 1.218924522
	8d3e6852	  4089938	 1.218896508
	803e66c9	  4089545	 1.218779325
	8d3e6079	  4087929	 1.218297720
	8f3e5e44	  4087364	 1.218129396
	8d3e5d65	  4087141	 1.218062878
	893e5f69	  4087657	 1.218216658
	8a3e6749	  4089673	 1.218817472
	823e67ad	  4089773	 1.218847275
	823e6622	  4089378	 1.218729615
	893e65c6	  4089286	 1.218702197
	873e6669	  4089449	 1.218750715
	833e65ff	  4089343	 1.218719244
	853e6608	  4089352	 1.218721867
	8b3e6648	  4089416	 1.218740940
	803e66c8	  4089544	 1.218779087
	833e66c0	  4089536	 1.218776703
	873e65d8	  4089304	 1.218707561
	8f3e6605	  4089349	 1.218720913
	8c3e6775	  4089717	 1.218830585
	843e68a1	  4090017	 1.218919992
	8c3e68b8	  4090040	 1.218926907
	8b3e684e	  4089934	 1.218895316
	813e6884	  4089988	 1.218911409
	8b3e683b	  4089915	 1.218889713
	803e688a	  4089994	 1.218913198
	843e681f	  4089887	 1.218881369
	853e6876	  4089974	 1.218907237
	833e68bb	  4090043	 1.218927860
	8b3e6862	  4089954	 1.218901277
	843e684a	  4089930	 1.218894124
	8f3e68b2	  4090034	 1.218925118
	873e6871	  4089969	 1.218905687
	8a3e681d	  4089885	 1.218880653
	893e682a	  4089898	 1.218884587
	853e6876	  4089974	 1.218907237
	8c3e682c	  4089900	 1.218885183
	883e6856	  4089942	 1.218897700
	8a3e6845	  4089925	 1.218892574
	843e686b	  4089963	 1.218904018
	883e6866	  4089958	 1.218902469
	873e6879	  4089977	 1.218908072
	873e685f	  4089951	 1.218900442
	893e688c	  4089996	 1.218913794
	873e68d7	  4090071	 1.218936205
	863e6878	  4089976	 1.218907833
	813e6856	  4089942	 1.218897700
	8a3e685f	  4089951	 1.218900442
	853e6851	  4089937	 1.218896151
	893e6877	  4089975	 1.218907595
	813e6883	  4089987	 1.218911171
	893e6858	  4089944	 1.218898296
	8d3e6852	  4089938	 1.218896508
	853e683a	  4089914	 1.218889356
	8f3e686d	  4089965	 1.218904495
	893e688b	  4089995	 1.218913555
	833e686b	  4089963	 1.218904018
	813e68a1	  4090017	 1.218919992
	843e688a	  4089994	 1.218913198
	893e686e	  4089966	 1.218904853
	8c3e6862	  4089954	 1.218901277
	863e684f	  4089935	 1.218895674
	833e6868	  4089960	 1.218903065
	8a3e6888	  4089992	 1.218912601
	863e6851	  4089937	 1.218896151
	843e685c	  4089948	 1.218899488
	853e6857	  4089943	 1.218898058
	833e6897	  4090007	 1.218917131
	893e68af	  4090031	 1.218924284
	8e3e68b7	  4090039	 1.218926668
	803e68af	  4090031	 1.218924284
	833e6833	  4089907	 1.218887329
	803e6894	  4090004	 1.218916178
	8b3e6820	  4089888	 1.218881607
	843e689e	  4090014	 1.218919158
	893e6857	  4089943	 1.218898058
	8e3e687c	  4089980	 1.218909025
	8a3e684f	  4089935	 1.218895674
	813e689c	  4090012	 1.218918562
	8d3e683e	  4089918	 1.218890548
	8f3e68a0	  4090016	 1.218919754
	893e6874	  4089972	 1.218906641
	863e6859	  4089945	 1.218898535
	813e6864	  4089956	 1.218901873
	853e6845	  4089925	 1.218892574
	8f3e6893	  4090003	 1.218915939
	833e68ad	  4090029	 1.218923569
	853e6844	  4089924	 1.218892336
	8f3e6825	  4089893	 1.218883038
	8d3e6894	  4090004	 1.218916178
	833e685e	  4089950	 1.218900084
	8b3e6884	  4089988	 1.218911409
	883e6856	  4089942	 1.218897700
	8f3e6887	  4089991	 1.218912363
	833e6841	  4089921	 1.218891382
	883e689f	  4090015	 1.218919516
	813e6862	  4089954	 1.218901277
	893e68be	  4090046	 1.218928695
	8b3e6895	  4090005	 1.218916416
	873e6849	  4089929	 1.218893766
	833e6862	  4089954	 1.218901277
	823e6877	  4089975	 1.218907595
	8c3e6854	  4089940	 1.218897104
	8a3e6863	  4089955	 1.218901634
	843e6866	  4089958	 1.218902469
	873e6887	  4089991	 1.218912363
	853e68bd	  4090045	 1.218928337
	803e681c	  4089884	 1.218880415
	843e689a	  4090010	 1.218917966
	8e3e6846	  4089926	 1.218892932
	833e685d	  4089949	 1.218899727
	863e686c	  4089964	 1.218904257
	823e687f	  4089983	 1.218909979
	883e6891	  4090001	 1.218915224
	863e684c	  4089932	 1.218894720
	883e68b0	  4090032	 1.218924522
	883e6881	  4089985	 1.218910456
	823e6888	  4089992	 1.218912601
	8e3e6864	  4089956	 1.218901873
	8e3e687a	  4089978	 1.218908429
	853e68e1	  4090081	 1.218939066
	8e3e686c	  4089964	 1.218904257
	853e6856	  4089942	 1.218897700
	863e68ab	  4090027	 1.218923092
	8f3e6870	  4089968	 1.218905449
	883e688f	  4089999	 1.218914747
	8d3e683c	  4089916	 1.218889952
	833e6861	  4089953	 1.218900919
	8b3e683f	  4089919	 1.218890905
	8e3e687e	  4089982	 1.218909621
	873e6698	  4089496	 1.218764782
	883e5e1d	  4087325	 1.218117714
	893e6054	  4087892	 1.218286753
	863e5e09	  4087305	 1.218111753
	893e5e72	  4087410	 1.218143106
	883e678c	  4089740	 1.218837500
	8b3e673d	  4089661	 1.218813896
	893e672f	  4089647	 1.218809843
	813e665b	  4089435	 1.218746662
	843e65e5	  4089317	 1.218711376
	863e6624	  4089380	 1.218730211
	843e666d	  4089453	 1.218751907
	8c3e6642	  4089410	 1.218739152
	8e3e6636	  4089398	 1.218735576
	813e6600	  4089344	 1.218719482
	8c3e65f4	  4089332	 1.218715906
	8e3e6635	  4089397	 1.218735218
	883e6602	  4089346	 1.218720078
	853e666c	  4089452	 1.218751669
	803e6627	  4089383	 1.218731165
	8b3e6770	  4089712	 1.218829155
	813e6847	  4089927	 1.218893290
	853e6840	  4089920	 1.218891144
	823e6887	  4089991	 1.218912363
	803e6882	  4089986	 1.218910813
	8f3e686c	  4089964	 1.218904257
	8c3e687d	  4089981	 1.218909264
	8b3e6869	  4089961	 1.218903303
	883e6859	  4089945	 1.218898535
	8f3e6845	  4089925	 1.218892574
	833e6874	  4089972	 1.218906641
	8d3e6895	  4090005	 1.218916416
	8b3e68dc	  4090076	 1.218937635
	863e68db	  4090075	 1.218937397
	883e6866	  4089958	 1.218902469
	803e684d	  4089933	 1.218894958
	8f3e6882	  4089986	 1.218910813
	873e6879	  4089977	 1.218908072
	893e682e	  4089902	 1.218885779
	833e689e	  4090014	 1.218919158
	863e6841	  4089921	 1.218891382
	823e6880	  4089984	 1.218910217
	8c3e6864	  4089956	 1.218901873
	8f3e687e	  4089982	 1.218909621
	883e6828	  4089896	 1.218883991
	883e6865	  4089957	 1.218902111
	8f3e6883	  4089987	 1.218911171
	813e6870	  4089968	 1.218905449
	8b3e685a	  4089946	 1.218898892
	893e6862	  4089954	 1.218901277
	883e6828	  4089896	 1.218883991
	8d3e68b7	  4090039	 1.218926668
	8a3e6875	  4089973	 1.218906879
	893e6858	  4089944	 1.218898296
	8a3e687c	  4089980	 1.218909025
	8e3e6867	  4089959	 1.218902826
	8d3e687f	  4089983	 1.218909979
	873e685d	  4089949	 1.218899727
	893e6870	  4089968	 1.218905449
	8e3e686c	  4089964	 1.218904257
	823e687a	  4089978	 1.218908429
	893e6817	  4089879	 1.218878984
	8e3e685e	  4089950	 1.218900084
	843e689a	  4090010	 1.218917966
	853e6858	  4089944	 1.218898296
	843e6898	  4090008	 1.218917370
	8d3e6872	  4089970	 1.218906045
	833e6862	  4089954	 1.218901277
	803e688c	  4089996	 1.218913794
	893e684c	  4089932	 1.218894720
	8f3e6882	  4089986	 1.218910813
	803e6863	  4089955	 1.218901634
	863e68ad	  4090029	 1.218923569
	8f3e6828	  4089896	 1.218883991
	803e6889	  4089993	 1.218912840
	863e688d	  4089997	 1.218914032
	863e6854	  4089940	 1.218897104
	833e689a	  4090010	 1.218917966
	813e686e	  4089966	 1.218904853
	883e686e	  4089966	 1.218904853
	893e6851	  4089937	 1.218896151
	873e687e	  4089982	 1.218909621
	833e6872	  4089970	 1.218906045
	8b3e6898	  4090008	 1.218917370
	8f3e6897	  4090007	 1.218917131
	8a3e6835	  4089909	 1.218887806
	883e6868	  4089960	 1.218903065
	8b3e6862	  4089954	 1.218901277
	8d3e6890	  4090000	 1.218914986
	883e686f	  4089967	 1.218905210
	8a3e688b	  4089995	 1.218913555
	8c3e688d	  4089997	 1.218914032
	833e6845	  4089925	 1.218892574
	8e3e6882	  4089986	 1.218910813
	873e6858	  4089944	 1.218898296
	813e6886	  4089990	 1.218912005
	8a3e686d	  4089965	 1.218904495
	863e6846	  4089926	 1.218892932
	853e6841	  4089921	 1.218891382
	813e6896	  4090006	 1.218916774
	893e6880	  4089984	 1.218910217
	803e6833	  4089907	 1.218887329
	853e685c	  4089948	 1.218899488
	873e683c	  4089916	 1.218889952
	893e68ae	  4090030	 1.218923926
	823e6869	  4089961	 1.218903303
	8f3e688a	  4089994	 1.218913198
	883e6878	  4089976	 1.218907833
	893e6887	  4089991	 1.218912363
	803e6891	  4090001	 1.218915224
	803e687e	  4089982	 1.218909621
	8f3e6859	  4089945	 1.218898535
	833e685d	  4089949	 1.218899727
	863e6854	  4089940	 1.218897104
	873e68b0	  4090032	 1.218924522
	8d3e687d	  4089981	 1.218909264
	863e6877	  4089975	 1.218907595
	813e6877	  4089975	 1.218907595
	8b3e6837	  4089911	 1.218888521
	8f3e685f	  4089951	 1.218900442
	8d3e684e	  4089934	 1.218895316
	883e6891	  4090001	 1.218915224
	803e6859	  4089945	 1.218898535
	8b3e6827	  4089895	 1.218883753
	8d3e6873	  4089971	 1.218906403
	823e681d	  4089885	 1.218880653
	883e684b	  4089931	 1.218894482
	8c3e68d9	  4090073	 1.218936682
	853e671c	  4089628	 1.218804121
	813e5fe2	  4087778	 1.218252778
	873e605a	  4087898	 1.218288541
	853e5e32	  4087346	 1.218124032
	873e6121	  4088097	 1.218347788
	803e66a3	  4089507	 1.218768120
	8f3e677b	  4089723	 1.218832493
	813e673d	  4089661	 1.218813896
	813e660f	  4089359	 1.218724012
	8c3e6610	  4089360	 1.218724251
	8c3e6672	  4089458	 1.218753457
	893e65f5	  4089333	 1.218716145
	813e664d	  4089421	 1.218742371
	873e65f9	  4089337	 1.218717337
	813e661a	  4089370	 1.218727231
	803e664b	  4089419	 1.218741894
	8b3e6648	  4089416	 1.218740940
	8b3e6691	  4089489	 1.218762636
	863e6787	  4089735	 1.218836069
	813e6865	  4089957	 1.218902111
	8f3e687c	  4089980	 1.218909025
	8b3e6876	  4089974	 1.218907237
	8c3e685b	  4089947	 1.218899250
	8e3e68a2	  4090018	 1.218920350
	843e6866	  4089958	 1.218902469
	813e6801	  4089857	 1.218872309
	8f3e6875	  4089973	 1.218906879
	8c3e6861	  4089953	 1.218900919
	8d3e6866	  4089958	 1.218902469
	8b3e6862	  4089954	 1.218901277
	853e688d	  4089997	 1.218914032
	813e67f9	  4089849	 1.218869925
	883e688d	  4089997	 1.218914032
	803e6807	  4089863	 1.218874216
	883e688b	  4089995	 1.218913555
	823e68a2	  4090018	 1.218920350
	803e6837	  4089911	 1.218888521
	8f3e684f	  4089935	 1.218895674
	823e6882	  4089986	 1.218910813
	8e3e682c	  4089900	 1.218885183
	8e3e6824	  4089892	 1.218882799
	8a3e6864	  4089956	 1.218901873
	803e6852	  4089938	 1.218896508
	8f3e6862	  4089954	 1.218901277
	813e6853	  4089939	 1.218896866
	893e6897	  4090007	 1.218917131
	853e681d	  4089885	 1.218880653
	843e686d	  4089965	 1.218904495
	863e686c	  4089964	 1.218904257
	843e6899	  4090009	 1.218917608
	843e689c	  4090012	 1.218918562
	833e6856	  4089942	 1.218897700
	8a3e6868	  4089960	 1.218903065
	8f3e6842	  4089922	 1.218891740
	803e685e	  4089950	 1.218900084
	813e6860	  4089952	 1.218900681
	8b3e6876	  4089974	 1.218907237
	8e3e689d	  4090013	 1.218918800
	813e687f	  4089983	 1.218909979
	8d3e687a	  4089978	 1.218908429
	833e681d	  4089885	 1.218880653
	8b3e68a8	  4090024	 1.218922138
	803e6891	  4090001	 1.218915224
	8f3e684a	  4089930	 1.218894124
	843e687b	  4089979	 1.218908787
	893e68ad	  4090029	 1.218923569
	813e6869	  4089961	 1.218903303
	853e686b	  4089963	 1.218904018
	893e6899	  4090009	 1.218917608
	883e68b5	  4090037	 1.218925953
	873e6867	  4089959	 1.218902826
	8d3e6877	  4089975	 1.218907595
	8b3e6882	  4089986	 1.218910813
	8e3e6845	  4089925	 1.218892574
	823e6858	  4089944	 1.218898296
	893e684e	  4089934	 1.218895316
	893e686e	  4089966	 1.218904853
	8d3e6808	  4089864	 1.218874454
	843e6866	  4089958	 1.218902469
	803e6893	  4090003	 1.218915939
	813e6846	  4089926	 1.218892932
	8d3e6876	  4089974	 1.218907237
	873e6863	  4089955	 1.218901634
	843e688e	  4089998	 1.218914390
	823e6850	  4089936	 1.218895912
	823e684f	  4089935	 1.218895674
	893e6838	  4089912	 1.218888760
	843e687f	  4089983	 1.218909979
	8b3e680d	  4089869	 1.218875885
	8e3e683d	  4089917	 1.218890190
	853e6830	  4089904	 1.218886375
	843e6866	  4089958	 1.218902469
	883e686a	  4089962	 1.218903661
	833e6838	  4089912	 1.218888760
	8f3e6845	  4089925	 1.218892574
	823e685b	  4089947	 1.218899250
	833e68a2	  4090018	 1.218920350
	883e6881	  4089985	 1.218910456
	833e6884	  4089988	 1.218911409
	8a3e6892	  4090002	 1.218915582
	8a3e688c	  4089996	 1.218913794
	8b3e6877	  4089975	 1.218907595
	8a3e6861	  4089953	 1.218900919
	843e682f	  4089903	 1.218886137
	8d3e6891	  4090001	 1.218915224
	8e3e681b	  4089883	 1.218880177
	813e689d	  4090013	 1.218918800
	8f3e686f	  4089967	 1.218905210
	8f3e68a8	  4090024	 1.218922138
	883e68b0	  4090032	 1.218924522
	823e6879	  4089977	 1.218908072
	8a3e6868	  4089960	 1.218903065
	853e683a	  4089914	 1.218889356
	833e68ca	  4090058	 1.218932271
	823e682c	  4089900	 1.218885183
	8b3e6892	  4090002	 1.218915582
	8c3e6862	  4089954	 1.218901277
	883e6892	  4090002	 1.218915582
	8a3e68ad	  4090029	 1.218923569
	8d3e6877	  4089975	 1.218907595
	853e68e4	  4090084	 1.218940020
	843e687c	  4089980	 1.218909025
	823e681e	  4089886	 1.218881011
	8d3e6863	  4089955	 1.218901634
	853e6889	  4089993	 1.218912840
	8e3e6849	  4089929	 1.218893766
	803e68bf	  4090047	 1.218929052
	803e6867	  4089959	 1.218902826
	863e66d1	  4089553	 1.218781710
	8c3e60fc	  4088060	 1.218336821
	8c3e5ea9	  4087465	 1.218159437
	873e5b67	  4086631	 1.217911005
	873e619a	  4088218	 1.218383908
	8b3e6748	  4089672	 1.218817234
	8f3e6742	  4089666	 1.218815446
	8f3e670a	  4089610	 1.218798757
	8e3e65f5	  4089333	 1.218716145
	8d3e6620	  4089376	 1.218729019
	883e6647	  4089415	 1.218740702
	8c3e65f9	  4089337	 1.218717337
	833e660f	  4089359	 1.218724012
	893e65f7	  4089335	 1.218716860
	833e65a5	  4089253	 1.218692303
	8c3e65e2	  4089314	 1.218710542
	813e665d	  4089437	 1.218747139
	8b3e65f9	  4089337	 1.218717337
	813e671d	  4089629	 1.218804359
	8c3e685b	  4089947	 1.218899250
	863e6853	  4089939	 1.218896866
	823e683e	  4089918	 1.218890548
	8c3e6890	  4090000	 1.218914986
	8d3e685c	  4089948	 1.218899488
	833e6860	  4089952	 1.218900681
	8a3e685a	  4089946	 1.218898892
	853e684b	  4089931	 1.218894482
	893e685d	  4089949	 1.218899727
	853e685e	  4089950	 1.218900084
	873e6870	  4089968	 1.218905449
	813e6829	  4089897	 1.218884230
	8e3e687d	  4089981	 1.218909264
	883e686e	  4089966	 1.218904853
	863e6834	  4089908	 1.218887568
	8b3e6855	  4089941	 1.218897343
	8b3e6867	  4089959	 1.218902826
	803e686f	  4089967	 1.218905210
	893e6883	  4089987	 1.218911171
	823e6849	  4089929	 1.218893766
	8e3e68c7	  4090055	 1.218931437
	823e6899	  4090009	 1.218917608
	873e6857	  4089943	 1.218898058
	803e6855	  4089941	 1.218897343
	853e68a4	  4090020	 1.218920946
	883e6892	  4090002	 1.218915582
	863e6870	  4089968	 1.218905449
	863e68bc	  4090044	 1.218928099
	853e6865	  4089957	 1.218902111
	883e6880	  4089984	 1.218910217
	883e68c6	  4090054	 1.218931079
	893e682d	  4089901	 1.218885422
	853e6848	  4089928	 1.218893528
	833e68b6	  4090038	 1.218926311
	813e6881	  4089985	 1.218910456
	8a3e6873	  4089971	 1.218906403
	853e686c	  4089964	 1.218904257
	813e6879	  4089977	 1.218908072
	893e684a	  4089930	 1.218894124
	8a3e68c0	  4090048	 1.218929291
	853e68a4	  4090020	 1.218920946
	893e6843	  4089923	 1.218892097
	853e6822	  4089890	 1.218882203
	803e6877	  4089975	 1.218907595
	8a3e6839	  4089913	 1.218888998
	8c3e6859	  4089945	 1.218898535
	883e688f	  4089999	 1.218914747
	843e6844	  4089924	 1.218892336
	803e6864	  4089956	 1.218901873
	893e6892	  4090002	 1.218915582
	8d3e68a0	  4090016	 1.218919754
	873e6820	  4089888	 1.218881607
	8a3e6844	  4089924	 1.218892336
	873e685b	  4089947	 1.218899250
	8b3e6881	  4089985	 1.218910456
	883e6895	  4090005	 1.218916416
	883e684a	  4089930	 1.218894124
	893e6821	  4089889	 1.218881845
	8d3e6868	  4089960	 1.218903065
	813e6819	  4089881	 1.218879461
	8d3e686e	  4089966	 1.218904853
	833e688e	  4089998	 1.218914390
	8c3e686f	  4089967	 1.218905210
	843e6840	  4089920	 1.218891144
	8b3e6859	  4089945	 1.218898535
	853e6882	  4089986	 1.218910813
	8f3e6860	  4089952	 1.218900681
	833e6828	  4089896	 1.218883991
	8c3e6872	  4089970	 1.218906045
	823e6877	  4089975	 1.218907595
	8f3e6834	  4089908	 1.218887568
	803e6891	  4090001	 1.218915224
	8a3e687b	  4089979	 1.218908787
	823e6878	  4089976	 1.218907833
	843e6851	  4089937	 1.218896151
	8b3e6811	  4089873	 1.218877077
	8c3e6874	  4089972	 1.218906641
	8f3e686e	  4089966	 1.218904853
	8e3e68c2	  4090050	 1.218929887
	8b3e688b	  4089995	 1.218913555
	8a3e6820	  4089888	 1.218881607
	843e68b5	  4090037	 1.218925953
	823e6878	  4089976	 1.218907833
	8a3e686f	  4089967	 1.218905210
	8e3e6886	  4089990	 1.218912005
	853e6892	  4090002	 1.218915582
	823e688d	  4089997	 1.218914032
	8d3e6872	  4089970	 1.218906045
	833e68ad	  4090029	 1.218923569
	883e6879	  4089977	 1.218908072
	823e689e	  4090014	 1.218919158
	823e684d	  4089933	 1.218894958
	843e686d	  4089965	 1.218904495
	813e6869	  4089961	 1.218903303
	8f3e686b	  4089963	 1.218904018
	813e6897	  4090007	 1.218917131
	863e6872	  4089970	 1.218906045
	803e6877	  4089975	 1.218907595
	863e6878	  4089976	 1.218907833
	8b3e688b	  4089995	 1.218913555
	873e686f	  4089967	 1.218905210
	873e688e	  4089998	 1.218914390
	803e684a	  4089930	 1.218894124
	8a3e688c	  4089996	 1.218913794
	8d3e681f	  4089887	 1.218881369
	813e685f	  4089951	 1.218900442
	813e6869	  4089961	 1.218903303
	8a3e6827	  4089895	 1.218883753
	803e68a0	  4090016	 1.218919754
	873e6778	  4089720	 1.218831539
	833e612a	  4088106	 1.218350530
	843e62e1	  4088545	 1.218481302
	8d3e630d	  4088589	 1.218494415
	8a3e64b4	  4089012	 1.218620539
	813e66ff	  4089599	 1.218795538
	883e66e4	  4089572	 1.218787432
	813e674e	  4089678	 1.218819022
	853e66bd	  4089533	 1.218775749
	8d3e6628	  4089384	 1.218731403
	883e6600	  4089344	 1.218719482
	843e665f	  4089439	 1.218747854
	8c3e65ff	  4089343	 1.218719244
	823e6642	  4089410	 1.218739152
	803e662c	  4089388	 1.218732595
	8c3e65c2	  4089282	 1.218701005
	853e65e8	  4089320	 1.218712330
	813e65de	  4089310	 1.218709350
	843e6684	  4089476	 1.218758821
	873e67fc	  4089852	 1.218870878
	8f3e68a8	  4090024	 1.218922138
	873e6818	  4089880	 1.218879223
	893e6892	  4090002	 1.218915582
	8f3e686b	  4089963	 1.218904018
	8c3e6846	  4089926	 1.218892932
	8a3e687b	  4089979	 1.218908787
	8e3e689f	  4090015	 1.218919516
	813e6840	  4089920	 1.218891144
	8c3e6873	  4089971	 1.218906403
	883e6840	  4089920	 1.218891144
	8b3e688f	  4089999	 1.218914747
	813e688f	  4089999	 1.218914747
	813e686e	  4089966	 1.218904853
	883e6830	  4089904	 1.218886375
	8e3e688d	  4089997	 1.218914032
	8d3e687b	  4089979	 1.218908787
	823e6865	  4089957	 1.218902111
	843e6859	  4089945	 1.218898535
	843e6853	  4089939	 1.218896866
	853e689b	  4090011	 1.218918324
	873e6881	  4089985	 1.218910456
	8d3e6844	  4089924	 1.218892336
	843e6877	  4089975	 1.218907595
	8a3e6880	  4089984	 1.218910217
	883e682f	  4089903	 1.218886137
	893e6874	  4089972	 1.218906641
	8f3e6864	  4089956	 1.218901873
	8d3e6886	  4089990	 1.218912005
	8a3e689b	  4090011	 1.218918324
	8a3e685b	  4089947	 1.218899250
	8b3e6874	  4089972	 1.218906641
	893e6884	  4089988	 1.218911409
	833e6893	  4090003	 1.218915939
	803e68ad	  4090029	 1.218923569
	833e6876	  4089974	 1.218907237
	8f3e6864	  4089956	 1.218901873
	843e6853	  4089939	 1.218896866
	8e3e6889	  4089993	 1.218912840
