refdes, device, footprint, value, symversion
C24., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C25., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C26., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C27., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C28., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C29., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C30., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C31., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C32., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C33., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C34., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C35., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C59., CAPACITOR, SMD_CHIP 603, 0.01 \316\274F, 0.1
C60., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C61., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C62., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C63., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C64., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C65., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C66., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C67., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C68., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C69., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C70., CAPACITOR, SMD_CHIP 603, 1 \316\274F, 0.1
C71., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C80., CAPACITOR, SMD_CHIP 603, 10 \316\274F, 0.1
C81., CAPACITOR, SMD_CHIP 603, 10 \316\274F, 0.1
L7., INDUCTOR, SMD_CHIP 603, 3.3\316\274H, 0.1
R10, RESISTOR, SMD_CHIP 603, 0\342\204\246, 
R11, RESISTOR, SMD_CHIP 603, 0\342\204\246, 
R46, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R53, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R54, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
U6., AD7779, QFN64_9x9, , 
X2., 8.192 kHz, OSC_ABR_2_5X2, , 
