refdes, device, footprint, value, symversion
C6., CAPACITOR, SMD_CHIP 603, 0.01 \316\274F, 0.1
C7., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C8., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C9., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C10., CAPACITOR, SMD_CHIP 603, 0.01 \316\274F, 0.1
C11., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C12., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C13., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C14., CAPACITOR, SMD_CHIP 603, 0.01 \316\274F, 0.1
C15., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C16., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C17., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C18., CAPACITOR, SMD_CHIP 603, 0.01 \316\274F, 0.1
C19., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C20., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C21., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
J3, CONNECTOR_5, HEADER5, , 
R48, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, 
R49, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, 
R50, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, 
R51, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, 
R52, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, 
R121, RESISTOR, SMD_CHIP 603, 10k \342\204\246, 
U3., LCMX02-7000HE, LQFP144_20, , 
