refdes, device, footprint, value, symversion
C72., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C73., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C74., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C75., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C104., CAPACITOR, SMD_CHIP 603, 50 \316\274F, 0.1
C105., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C106., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C107., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
C108., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, 0.1
Q1., NMOS_TRANSISTOR, TO-263-3, , 
Q2., NMOS_TRANSISTOR, TO-263-3, , 
Q3., NMOS_TRANSISTOR, TO-263-3, , 
Q4., NMOS_TRANSISTOR, TO-263-3, , 
R73, RESISTOR, SMD2512, 220 m\342\204\246, 
R74, RESISTOR, SMD2512, 60 \342\204\246, 
R75, RESISTOR, SMD2512, 60 \342\204\246, 
R76, RESISTOR, SMD2512, 220 m\342\204\246, 
R77, RESISTOR, SMD2512, 60 \342\204\246, 
R78, RESISTOR, SMD2512, 60 \342\204\246, 
R79, RESISTOR, SMD2512, 220 m\342\204\246, 
R80, RESISTOR, SMD2512, 60 \342\204\246, 
R81, RESISTOR, SMD2512, 60 \342\204\246, 
R82, RESISTOR, SMD2512, 220 m\342\204\246, 
R83, RESISTOR, SMD2512, 60 \342\204\246, 
R84, RESISTOR, SMD2512, 60 \342\204\246, 
U10., TMP107, IC_SOIC_8, , 
U11., TMP107, IC_SOIC_8, , 
U12., TMP107, IC_SOIC_8, , 
U13., TMP107, IC_SOIC_8, , 
U16., LT1161, SOIC-20-W, , 
