refdes, device, footprint, value, symversion
C88., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C89., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C90., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C91., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C92., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C93., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C94., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C95., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C96., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C97., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C98., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C99., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C100., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C101., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C102., CAPACITOR, SMD_CHIP 603, DNI, 0.1
C103., CAPACITOR, SMD_CHIP 603, DNI, 0.1
J4, DB37, DB37F, , 
R85, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R86, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R87, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R88, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R89, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R90, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R91, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R92, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R93, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R94, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R95, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R96, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R97, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R98, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R99, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R100, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R101, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R102, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R103, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R104, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R105, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R106, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R107, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
R108, RESISTOR, SMD_CHIP 603, 0 \342\204\246, 
